name,description,centroid_lon,centroid_lat,bbox_west,bbox_south,bbox_east,bbox_north
PL5/160 (Abirem),,-0.9668880730338303,6.34728853811973,-1.0,6.320508333333334,-0.9166694444444444,6.366344444444445
ML2/51/VOL.2 (Betindsi),,-2.1973045236491213,5.160602220275939,-2.224975,5.133483333333333,-2.1790777777777777,5.191711111111111
PL3/102,,-1.12125,5.21375,-1.1225,5.2116666667,-1.12,5.2158333333
MC 113/VOL4,,-1.9443963146406367,5.30609873486933,-2.0,5.2708333333,-1.9,5.3541666667
PL10/43,,-2.660981070915311,10.719436493871262,-2.733775,10.66628888888889,-2.600041666666667,10.787711111111111
PL2/624,,-2.1219624682317058,5.277465012713196,-2.1416666667,5.2458333333,-2.1,5.3208333333
PL2/538,,-2.045034461158598,5.269094611520571,-2.0916666667,5.25,-2.0125,5.2958333333
PL2/539,,-2.084350775204646,5.320145348828779,-2.1041666667,5.2583333333,-2.0583333333,5.375
PL2/1/Vol.10,,-2.058333333331105,5.238323643399088,-2.1,5.2125,-2.0041666667,5.2625
SSML-O6 18/2024,,-2.0362639059304706,6.202056543967281,-2.0375,6.2008,-2.035,6.2033
SSML-O6 19/2024,,-2.0202493074792245,6.281320914127424,-2.0217,6.2792,-2.0183,6.2825
SSML-O6 13/2024,,-2.019047172236504,6.273039845758356,-2.02,6.2708,-2.0175,6.275
SSML-O6 14/2024,,-2.024291339491916,6.209759006928407,-2.0258,6.2083,-2.0233,6.2117
SSML-O6 2/2023,,-2.0131890342052317,6.285907947686117,-2.015,6.285,-2.0117,6.2867
RML-N-4/180,,0.37665000000000004,5.9808,0.3733,5.9783,0.38,5.9833
PL2/801,,-2.125094696962914,5.657689393922192,-2.1666666667,5.625,-2.075,5.6958333333
QL9/22,,-1.2122335012544407,10.817518326078039,-1.2152305555555556,10.815947222222222,-1.2104444444444444,10.819291666666667
PL6/87/VOL2,,-1.6167581059788443,6.32894770660259,-1.623055555555,6.318055555555,-1.6088888889,6.34
PL6/87/Vol.2,,-1.61145833330625,6.334505208361327,-1.625,6.3125,-1.5958333333,6.3541666667
PL2/546,,-2.152083333362712,6.260134180779875,-2.1791666667,6.2458333333,-2.1291666667,6.2791666667
1469/2001,,-2.3541805437982775,7.003959712369858,-2.4166666667,6.9388888889,-2.2913888889,7.0833333333
QL2/545,,-1.8750571895300074,4.968995098053114,-1.88,4.9666666667,-1.8708333333,4.9716666667
QL2/459,,-1.6445486111276042,5.075694444431249,-1.6475,5.0725,-1.6416666667,5.0783333333
KL2/31,,-2.286315789460065,4.9843932748394435,-2.29,4.9791666667,-2.2775,4.9908333333
RML-N-LAYER/72,,-2.10625,7.603333333350001,-2.1125,7.5966666667,-2.1,7.61
QL6/530,,-1.6412499999999997,6.80400641023491,-1.6425,6.8016666667,-1.64,6.8058333333
SSML-AS2 11/2023,,-2.0118321428571426,5.814732142857142,-2.0133,5.8133,-2.01,5.8158
SSML-AS2 14/2024,,-2.01125,5.816650000000001,-2.0133,5.8158,-2.0092,5.8175
SSML-AS2 18/2024,,-2.0141500000000003,5.8145999999999995,-2.015,5.8125,-2.0133,5.8167
SSML-AS2 43/2024,,-2.079756097560976,5.831093902439024,-2.0808,5.8292,-2.0792,5.8325
SSML-AS2 10/2023,,-2.0050878048780487,5.819725609756097,-2.0058,5.8183,-2.0042,5.8208
SSML-AS2 12/2023,,-2.00705,5.817950000000001,-2.0083,5.8167,-2.0058,5.8192
QL1/1043,,0.09953534391017486,5.820874554717207,0.09738888888888889,5.818222222222222,0.10147222222222223,5.823444444444444
QL5/124,,-0.37682942338720055,5.803682990177938,-0.3796388888888889,5.7979722222222225,-0.37316666666666665,5.8077777778
RML-N-6/161,,-1.6898041615667077,6.150164504283967,-1.6933,6.1483,-1.6867,6.1525
PL2/545,,-2.14425000001116,5.976416666686121,-2.1625,5.9625,-2.1291666667,5.9916666667
QL2/548,,-1.6763131313110882,5.0447264309622275,-1.678055555555,5.0433333333,-1.6747222222,5.0458333333
QL1/132/VOL.2,,-0.28686011903995534,5.635372023802456,-0.2908333333,5.6325,-0.2825,5.6383333333
QL7/22,,-2.1492013889128914,7.5208159722331365,-2.1541666667,7.5141666667,-2.1441666667,7.5283333333
QL6/578,,-1.716607142832653,7.1025595238530626,-1.7183333333,7.1016666667,-1.715,7.1041666667
SSML-AS2 40/2024,,-2.076400692520776,5.830628393351801,-2.0775,5.8292,-2.0758,5.8325
SSML-AS2 16/2024,,-2.01205,5.81835,-2.0133,5.8175,-2.0108,5.8192
SSML-AS2 26/2024,,-2.01205,5.820000000000001,-2.0133,5.8192,-2.0108,5.8208
SSML-AS2 17/2024,,-2.009434104627766,5.8181689134808865,-2.0108,5.8167,-2.0083,5.8192
SSML-AS2 24/2024,,-2.0829,5.8295499999999985,-2.0833,5.8283,-2.0825,5.8308
QL3/680,,-0.5164999999700001,5.55474999997,-0.5183333333,5.5533333333,-0.515,5.5558333333
QL3/548,,-1.4263782051266274,5.170224358963906,-1.4275,5.1683333333,-1.425,5.1725
QL6/486,,-1.5007625786128336,6.8477122641530075,-1.5033333333,6.8416666667,-1.4983333333,6.8533333333
